id,source,source_date_accessed,source_id,short_title,author,year,genre,gender,translator,title,publication,format,catalogue_numbers,notes,further_editions,riddell,gutenberg,underwood
1814,GARSIDE1800-1829,20100817,1824A055,Tales of a Traveller,Washington IRVING,1824,goth,Male,,"TALES OF A TRAVELLER. BY GEOFFREY CRAYON, GENT. IN TWO VOLUMES","London:                     John Murray, Albemarle-Street, 1824","2 vols (I xvi, 364p; II vi, 394p). 8&deg;",BL 838.f.7; ECB 301; EN2 1824: 54; NSTC 2C42720; OCLC 2127228,Reviewed in QR (Mar 1825) with three other of Irving's works,"New edn 1825 (Corvey, NSTC); 1848 (NSTC); 1850 (OCLC); Philadelphia 1824 (OCLC); French trans., 1825; German trans., 1825",,x,
1830,GARSIDE1800-1829,20100817,1824A071,"Adventures of Hajji Baba, The",James Justinian MORIER,1824,potgoth,Male,,"THE ADVENTURES OF HAJJI BABA, OF ISPAHAN. IN THREE VOLUMES","London:                     John Murray, Albemarle-Street, 1824","3 vols (I lxxv, 272p; II 403p; III 387p). 8&deg;",Corvey; CME 3-628-47016-1; ECB 396; EN2 1824: 70; NSTC 2M36628; OCLC 18278244,"Intoductory Epistle to Rev. Dr Fundgruben, signed 'Peregrine Persic', London, 1 Dec 1823. The last page of vol. 3 is mistakenly numbered 388","2nd edn 1824 (NSTC); 1835 (NSTC); 1849 (NUC); Philadelphia 1824 (OCLC); French trans., 1824; German trans., 1824",,x,
1843,GARSIDE1800-1829,20100817,1824A084,St Ronan's Well,Sir Walter SCOTT,1824,goth,Male,,"ST RONAN'S WELL. BY THE AUTHOR OF ""WAVERLEY, QUENTIN DURWARD,"" &C. IN THREE VOLUMES","Edinburgh:                     Printed for Archibald Constable and Co.; and Hurst, Robinson, and Co. London, 1824",3 vols (I 310p; II 325p; III 323p). 8&deg;,Corvey; CME 3-628-48585-1; ECB 512; EN2 1824: 84; NSTC 2S10227; OCLC 2691234,,"2nd edn' 1824 (CBEL3); Boston 1824 (OCLC) [also New York 1824 (OCLC), also Philadelphia 1824 (OCLC)]; French trans., 1824; German trans., 1824. Numerous reprintings in collected edns",,x,
1887,GARSIDE1800-1829,20100817,1825A029,"Magic Ring, The","Friedrich Heinrich Karl, Baron de la Motte FOUQU&#201;",1825,goth,Male,Robert Pierce GILLIES,"THE MAGIC RING; A ROMANCE, FROM THE GERMAN OF FREDERICK, BARON DE LA MOTTE FOUQU&#201;. IN THREE VOLUMES","Edinburgh:                     Published by Oliver & Boyd, Tweeddale-Court; and Geo. B. Whittaker, London, 1825","3 vols (I xv, 319p; II 344p; III 332p). 12&deg;",BL N.278; ECB 213; EN2 1825: 30; NSTC 2L2906; OCLC 4949935,"Trans. of <i>Der Zauberring</i> (N&uuml;rnberg, 1812). Dedication 'to Conrad Charles, Freyherr von ÞÆmselnburg, in Berlin, translator of ""The Lady of the Lake"", ""The Bridal of Triermain"" and ""The Antiquary""'. For identification of Gillies as translator, see <a href=""../guide/update4.html"">EN2 Update 4</a> and Publishing Papers (click on link below)",Another trans. 1846 (NSTC),,x,
1973,GARSIDE1800-1829,20100817,1826A024,"Last of the Mohicans, The",James Fenimore COOPER,1826,goth,Male,,"THE LAST OF THE MOHICANS; A NARRATIVE OF 1757. BY THE AUTHOR OF ""THE SPY,"" ""THE PILOT,"" ""THE PIONEERS,"" &C. &C. IN THREE VOLUMES","London:                     John Miller, New Bridge Street, 1826","3 vols (I xi, 287p; II 276p; III 295p). 12&deg;",Corvey; ECB 134; EN2 1826: 25; NSTC 2C36830; OCLC 1538248,"Originally published Philadelphia 1826 (Blanck, OCLC)",1831 (NSTC); 1834 (OCLC); 1836 (NSTC); 1838 (NSTC); 1839 (OCLC); [at least 3 more edns to 1850],,x,
1978,GARSIDE1800-1829,20100817,1826A029,Vivian Grey,"Benjamin, Earl of Beaconsfield DISRAELI",1826,goth,Male,,VIVIAN GREY,"London:                     Henry Colburn, New Burlington Street, 1826/27","5 vols (I (1826) 266p; II (1826) 236p; III (1827) 333p; IV (1827) 362p; V (1827) 324p, 25). 12&deg;",Corvey; CME 3-628-48807-9; ECB 165; EN2 1826: 30; NSTC 2D14247; OCLC 7265564,"Last 25 pp. of vol. 5 contain 'Key to Vivian Grey', with the  imprint 'London: Printed for William Marsh, 137, Oxford Street, 1827'","3rd edn 1827 (NSTC); 1834 (NSTC); New York 1826&ndash;27 (OCLC); German trans., 1827",,x,
2019,GARSIDE1800-1829,20100817,1826A070,Woodstock,Sir Walter SCOTT,1826,goth,Male,,"WOODSTOCK; OR, THE CAVALIER. A TALE OF THE YEAR SIXTEEN HUNDRED AND FIFTY-ONE. BY THE AUTHOR OF ""WAVERLEY, TALES OF THE CRUSADERS,"" &C. IN THREE VOLUMES","Edinburgh:                     Printed for Archibald Constable and Co.; and Longman, Rees, Orme, Brown, and Green, London, 1826","3 vols (I xvi, 315p; II 332p; III 370p). 8&deg;",Corvey; CME 3-628-48599-1; ECB 647; EN2 1826: 70; NSTC 2S10385; OCLC 1987882,"Introduction signed Walter Scott, Abbotsford, 1 Oct 1827. [1st series]",,x,,
2044,GARSIDE1800-1829,20100817,1827A018,Falkland,Edward George BULWER LYTTON,1827,,Male,,FALKLAND,"London:                     Henry Colburn, New Burlington Street, 1827","1 vol.  (ix, 264p). 12&deg;",Corvey; CME 3-628-47168-0; ECB 198; EN2 1827: 18; NSTC 2B57409; OCLC 3940707,"Preface dated London, 7 Mar 1827","1834 (NSTC); New York 1830 (NSTC) [also Philadelphia 1830 (OCLC)]; German trans., 1827; French trans., 1833",,x,x
2052,GARSIDE1800-1829,20100817,1827A026,"Red Rover, The",James Fenimore COOPER,1827,potgoth,Male,,"THE RED ROVER, A TALE. BY THE AUTHOR OF ""THE SPY,"" ""THE PILOT,"" ""THE PRAIRIE,"" &C. IN THREE VOLUMES","London:                     Henry Colburn, New Burlington Street, 1827","3 vols (I ix, 336p; II 309p; III 341p). 12&deg;",BL 1608/4013; ECB 135; EN2 1827: 25; NSTC 2C36871; OCLC 1544836,"Dedication to W. B. Shubrick, Esquire, U.S. Navy. First published in Paris (Hector Bossange) and in London (see Blanck, vol. 2 (1957), pp. 279&ndash;80, who indicates that Paris edn was marginally earlier). Corvey copy is identical to the BL copy listed above, apart from its 1828 imprint","1828 (Corvey, NSTC); 1834 (NSTC); 1836 (NSTC); 1839 (OCLC); Liverpool 1839 (NSTC); [at least 3 more edns to 1850]; Philadelphia 1827&ndash;28 (OCLC); German trans., 1828; French trans., 1830",,x,
2080,GARSIDE1800-1829,20100817,1827A054,"Epicurean, The",Thomas MOORE,1827,?|potgoth,Male,,"THE EPICUREAN, A TALE. BY THOMAS MOORE","London:                     Printed for Longman, Rees, Orme, Brown, and Green, Paternoster-Row, 1827","1 vol.  (vii, 332p). 12&deg;",BL 634.e.1; ECB 394; EN2 1827: 53; NSTC 2M35206; OCLC 2037409,Dedication to Lord John Russell,"2nd edn 1827 (Corvey), CME 3-628-48287-9; 3rd edn 1827 (NSTC); 4th edn 1827 (NSTC); 5th edn 1828 (NSTC); 6th edn 1831 (NSTC); [at least 2 more edns to 1850]; Boston 1827 (OCLC) [also Philadelphia 1827 (OCLC)]; French trans., 1827 [as <i>L'Þ„picurien, ou la vierge de Memphis</i> (CCFR)]; German trans., 1828",,x,
2088,GARSIDE1800-1829,20100817,1827A062,Chronicles of the Canongate,Sir Walter SCOTT,1827,goth,Male,,"CHRONICLES OF THE CANONGATE; BY THE AUTHOR OF ""WAVERLEY,"" &C. IN TWO VOLUMES","Edinburgh:                     Printed for Cadell and Co.; and Simpkin and Marshall, London, 1827","2 vols (I xxviii, 351p; II 374p). 8&deg;",Corvey; CME 3-628-48542-8; ECB 521; EN2 1827: 63; NSTC 2S9527; OCLC 1328813,"Introduction signed Walter Scott, Abbotsford, 1 Oct 1827. [1st series]","Boston 1827 (OCLC) [also New York 1827 (OCLC); Philadelphia 1827 (OCLC)]; French trans., 1827; German trans., 1828. Numerous reprintings of its tales ('The Highland Widow', 'The Two Drovers', and 'The Surgeon's Daughter') in collected edns",,x,
2121,GARSIDE1800-1829,20100817,1828A015,"Anglo-Irish of the Nineteenth Century, The",John BANIM,1828,potgoth,Male,,THE ANGLO-IRISH OF THE NINETEENTH CENTURY. A NOVEL. IN THREE VOLUMES,"London:                     Henry Colburn, New Burlington Street, 1828",3 vols (I 308p; II 305p; III 303p). 12&deg;,Corvey; CME 3-628-47060-9; ECB 19; EN2 1828: 16; NSTC 2B6659; OCLC 13302121,,,x,,
2145,GARSIDE1800-1829,20100817,1828A039,"Voyage of Captain Popanilla, The","Benjamin, Earl of Beaconsfield DISRAELI",1828,goth,Male,,"THE VOYAGE OF CAPTAIN POPANILLA. BY THE AUTHOR OF ""VIVIAN GREY.""","London:                     Henry Colburn, New Burlington Street, 1828","1 vol.  (viii, 243p). 12&deg;",Corvey; CME 3-628-48810-9; ECB 617; EN2 1828: 40; NSTC 2D14249; OCLC 2765477,"Dedication 'to Robert Ward, Esq., &c. &c. &c. of Chesham Woburn Hall, in the County of Bucks'",1829 (NSTC); Philadelphia 1828 (OCLC),,x,
2163,GARSIDE1800-1829,20100817,1828A057,"Life of Mansie Wauch, The",David Macbeth MOIR,1828,,Male,,"THE LIFE OF MANSIE WAUCH, TAILOR IN DALKEITH. WRITTEN BY HIMSELF","Edinburgh:                     William Blackwood, and T. Cadell, London, 1828","1 vol.  (viii, 374p). 12&deg;",Corvey; ECB 627; EN2 1828: 58; NSTC 2M32196; OCLC 19038233,"Dedication 'to John Galt, Esq. of Guelph, Upper Canada'. 'Part of this Autobiography originally appeared in Blackwood's Magazine' appears on verso of half-title",1839 (NSTC); 1845 (NSTC); New York 1828 (OCLC),,x,
2165,GARSIDE1800-1829,20100817,1828A059,"Adventures of Hajji Baba, of Ispahan, in England, The",James Justinian MORIER,1828,potgoth,Male,,"THE ADVENTURES OF HAJJI BABA, OF ISPAHAN, IN ENGLAND. IN TWO VOLUMES","London:                     John Murray, Albemarle-Street, 1828","2 vols (I xxxii, 306p; II 352p). 12&deg;",BL N.564; ECB 396; EN2 1828: 60; NSTC 2M36629; OCLC 3857113,"Introduction dated London, 19 Apr 1828","1835 (NSTC); 1850 (NSTC); New York & Philadelphia 1828 (NSTC, NUC); German trans., 1829",,x,
2211,GARSIDE1800-1829,20100817,1829A022,Devereux,Edward George BULWER LYTTON,1829,,Male,,"DEVEREUX. A TALE. BY THE AUTHOR OF ""PELHAM."" IN THREE VOLUMES","London:                     Henry Colburn, New Burlington Street, 1829","3 vols (I vii, 299p; II 310p; III 344p). 12&deg;",Corvey; CME 3-628-47150-8; ECB 160; EN2 1829: 21; NSTC 2B57397; OCLC 4630009,,"New edn 1829 (OCLC); 1831 (NSTC); 1836 (NSTC);1841 (OCLC); Boston 1829 (OCLC) [also New York 1829 (OCLC)]; French trans., 1829; German trans., 1830",,x,
2212,GARSIDE1800-1829,20100817,1829A023,"Disowned, The",Edward George BULWER LYTTON,1829,,Male,,"THE DISOWNED. BY THE AUTHOR OF ""PELHAM."" IN FOUR VOLUMES","London:                     Henry Colburn, New Burlington Street, 1829","4 vols (I xlix, 384p; II 341p; III 273p; IV 354p). 12&deg;",Corvey; CME 3-628-47166-4; ECB 84; EN2 1829: 22; NSTC 2B57399; OCLC 7434235,"Dedication to William Lytton Bulwer, Esq., dated 8 Nov 1828","2nd edn 1829 (NSTC); 3rd edn 1829 (NSTC); 1835 (NSTC); 1840 (OCLC); 1847 (OCLC); New York 1829 (NSTC); French trans., 1829 [as <i>L'Enfant dÞ¸savouÞ¸</i> (CCFR)]; German trans., 1829 [as <i>Der VerstoÞëene</i> (RS)]",,x,
2239,GARSIDE1800-1829,20100817,1829A050,"Richelieu, a Tale of France",George Payne Rainsford JAMES,1829,,Male,,"RICHELIEU, A TALE OF FRANCE. IN THREE VOLUMES","London:                     Henry Colburn, New Burlington Street, 1829","3 vols (I xix, 290p; II 315p; III 348p). 12&deg;",Corvey; CME 3-628-47936-3; ECB 493; EN2 1829: 48; NSTC 2J2162; OCLC 2503093,,"2nd edn 1831 (NSTC); 1839 (NSTC); New York 1829 (OCLC); French trans., 1830; German trans., 1830 [as <i>Kardinal Richelieu. Eine historisch-romantische Schilderung Frankreichs im Jahr 1642</i> (RS)]",,x,
2264,GARSIDE1800-1829,20100817,1829A075,Anne of Geierstein,Sir Walter SCOTT,1829,goth,Male,,"ANNE OF GEIERSTEIN; OR, THE MAIDEN OF THE MIST. BY THE AUTHOR OF ""WAVERLEY,"" &C. IN THREE VOLUMES","Edinburgh:                     Printed for Cadell and Co.; and Simpkin and Marshall, London, 1829",3 vols (I 336p; II 346p; III 381p). 8&deg;,Corvey; CME 3-628-48546-0; ECB 521; EN2 1829: 75; NSTC 2S9436; OCLC 1250944,,"New York 1829 (NSTC) [also Philadelphia 1829 (NSTC)]; French trans., 1829; German trans., 1829. Numerous reprintings in collected edns",,x,
2404,GARSIDE1830-1836,20110421,1831:024,THE YOUNG DUKE,"[DISRAELI, Benjamin, Earl of Beaconsfield]",1831,goth,Male,,"THE YOUNG DUKE. BY THE AUTHOR OF ""VIVIAN GREY."" IN THREE VOLUMES.","London: Henry Colburn and Richard Bentley, New Burlington Street, 1831.",,,,,x,x,
2510,GARSIDE1830-1836,20110421,1832:061,Newton Forster,"MARRYAT, Frederick",,,,,,,,,,,,x,
2550,GARSIDE1830-1836,20110421,1833:013,,"[BULWER LYTTON, Edward George]",1833,goth,Male,,GODOLPHIN. A NOVEL. IN THREE VOLUMES.,,,,"Trans. of <i>Peter Schlemihls wundersame Geschichte</i> (N&uuml;rnberg, 1814), ed. by Friedrich de la Motte FouquÌ_å©",,x,,x
2558,GARSIDE1830-1836,20110421,1833:021,ALROY,"[DISRAELI, Benjamin, Earl of Beaconsfield]",1833,goth,Male,,"THE WONDROUS TALE OF ALROY. THE RISE OF ISKANDER. BY THE AUTHOR OF ""VIVIAN GREY,"" ""CONTARINI FLEMING,"" &C.; IN THREE VOLUMES.","London: Saunders and Otley, Conduit Street, 1833.",,,,,x,,
3001,GARSIDE1770-1799,20111110,1786:15:00,VATHEK,"[BECKFORD, William]",1786,goth,Male,Samuel HENLEY,"[VATHEK]. AN ARABIAN TALE, FROM AN UNPUBLISHED MANUSCRIPT: WITH NOTES CRITICAL AND EXPLANATORY.","London: Printed for J. Johnson, in St. Paul's Church-Yard, and entered at the Stationers' Hall, 1786.",,,Dedication to I. E. Rosenberg. Collates in sixes.  Originally published New York 1799 (Blanck),,x,,x
3011,RIDDELL_ADDITIONS,20111110,RIDDELL3,VENETIA,"[DISRAELI, Benjamin, Earl of Beaconsfield]",1837,goth,Male,,VENETIA. BY THE AUTHOR OF Ì_Ì_ÌÂVIVIAN GREYÌ_Ì_å AND Ì_Ì_ÌÂHENRIETTA TEMPLE.Ì_Ì_å IN THREE VOLUMES.,"London: Henry Colburn, Publisher, 13, Great Marlborough Street. 1837.",,,"Trans. of <i>Undine</i> (Berlin, 1811). Dedication to 'Edward Knight, Esq. of the Theatre Royal, Drury Lane'. 'Advertisement' begins: 'It may be right to observe, that in translating this work, I have taken neither few nor trifling liberties with the original'. ECB gives co-publisher as Bell & B[radfute], Edinburgh, but no copy discovered with this imprint",,x,,
